CO,NO2,pm10,pm25,Temperature,Humidity,Wind speed,date,time,CO_AQI,NO2_AQI,pm10_AQI,pm25_AQI,AQI
909,18.5,75.1,45.7,14,0.75,1.24,1/29/2024,22:00,9,9,61,126,126
748,18.3,77.7,48.6,14,0.76,0.92,1/29/2024,23:00,7,9,62,133,133
748,18.3,65.1,52.7,14,0.77,1.12,1/30/2024,0:00,7,9,56,143,143
640,18.1,78.5,49.7,14,0.77,1.35,1/30/2024,1:00,6,9,63,136,136
638,18.8,71.3,53,13,0.78,1.36,1/30/2024,2:00,6,9,59,144,144
503,18.8,64.6,49.6,13,0.79,1.2,1/30/2024,3:00,5,9,56,136,136
514,18.8,66.1,45.9,13,0.8,1.09,1/30/2024,4:00,5,9,56,127,127
424,18.8,70.3,50.2,13,0.8,1.1,1/30/2024,5:00,4,9,59,137,137
514,18.8,66,50.6,13,0.8,1.17,1/30/2024,6:00,5,9,56,138,138
644,16.8,54.9,44.5,13,0.81,1.38,1/30/2024,7:00,6,8,51,123,123
983,19.7,59.7,45.6,13,0.8,1.21,1/30/2024,8:00,10,10,53,126,126
974,19,64.4,41.3,13,0.77,1.2,1/30/2024,9:00,10,10,56,115,115
1040,18.3,64.5,63.2,14,0.75,1.53,1/30/2024,10:00,10,9,56,156,156
920,19,68.4,56.5,15,0.73,1.28,1/30/2024,11:00,9,10,58,152,152
960,16.7,71.5,60.2,16,0.7,1.03,1/30/2024,12:00,10,8,59,154,154
915,16.2,75.4,67.8,16,0.67,1.25,1/30/2024,13:00,9,8,61,160,160
1040,16.2,78.9,69.2,16,0.64,1.53,1/30/2024,14:00,10,8,63,161,161
1080,15.8,76.4,58.9,16,0.62,2.24,1/30/2024,15:00,11,8,62,153,153
1320,23.1,79.8,71.4,16,0.62,2.4,1/30/2024,16:00,13,12,63,162,162
1480,25.1,82.8,69.9,16,0.64,2.8,1/30/2024,17:00,15,13,65,161,161
1690,28.5,76.3,62.9,16,0.68,2.66,1/30/2024,18:00,17,14,62,156,156
1610,28.3,98.1,66.2,16,0.72,2.28,1/30/2024,19:00,16,14,72,159,159
1660,30.9,99.2,68.3,16,0.73,2.1,1/30/2024,20:00,16,15,73,160,160
1530,27.6,108,62.5,16,0.76,2.14,1/30/2024,21:00,15,14,77,156,156
1440,29.5,93.5,53.2,16,0.79,2.16,1/30/2024,22:00,14,15,70,145,145
1310,30.3,94.5,57.5,16,0.83,2.29,1/30/2024,23:00,13,15,71,152,152
1240,28.3,89.5,46.9,16,0.85,2.39,1/31/2024,0:00,12,14,68,129,129
1030,22.2,82.7,53.2,16,0.87,1.51,1/31/2024,1:00,10,11,65,145,145
902,22.2,78,49.3,16,0.84,1.32,1/31/2024,2:00,9,11,62,135,135
764,21.5,70.2,38.8,15,0.85,0.93,1/31/2024,3:00,8,11,59,109,109
735,21.2,63.6,44.8,15,0.86,1.25,1/31/2024,4:00,7,11,55,124,124
601,21.2,60.2,36.9,15,0.87,1.02,1/31/2024,5:00,6,11,54,104,104
619,21.2,56.5,32.8,15,0.88,0.43,1/31/2024,6:00,6,11,52,95,95
684,19.7,47.7,23.6,15,0.88,0.43,1/31/2024,7:00,7,10,44,78,78
910,20.7,35.1,28.5,15,0.87,1.13,1/31/2024,8:00,9,10,33,87,87
831,12.1,41.8,20.9,16,0.86,1.03,1/31/2024,9:00,8,6,39,73,73
818,11.7,36.4,15.2,16,0.84,1.44,1/31/2024,10:00,8,6,34,62,62
725,10.4,49.9,13.4,17,0.82,1.04,1/31/2024,11:00,7,5,46,59,59
777,8.9,49.1,20.2,17,0.8,1.15,1/31/2024,12:00,8,4,45,72,72
782,11.3,62.3,21.2,18,0.76,0.91,1/31/2024,13:00,8,6,55,74,74
899,10.7,55.8,16.7,18,0.74,1.54,1/31/2024,14:00,9,5,51,65,65
1060,18.2,66.2,25.7,18,0.72,2.05,1/31/2024,15:00,11,9,57,82,82
1470,29.3,68.9,28.2,19,0.74,3.12,1/31/2024,16:00,15,15,58,87,87
1490,28.2,92.7,34.1,19,0.77,2.29,1/31/2024,17:00,15,14,70,98,98
1860,33.6,89.8,32.3,18,0.81,1.8,1/31/2024,18:00,18,17,68,94,94
2020,35.9,111,36.7,18,0.86,1.63,1/31/2024,19:00,20,18,79,104,104
2160,35.9,114,38.9,17,0.87,1.6,1/31/2024,20:00,21,18,80,109,109
2290,35.9,132,40.1,17,0.88,1.53,1/31/2024,21:00,23,18,89,112,112
2730,35.7,134,44.5,17,0.9,1.74,1/31/2024,22:00,27,18,90,123,123
2900,35.7,142,47.5,17,0.91,1.81,1/31/2024,23:00,29,18,94,131,131
2860,35.7,134,44.8,17,0.92,1.76,2/1/2024,0:00,28,18,90,124,124
2440,35.9,136,44.6,17,0.95,1.47,2/1/2024,1:00,24,18,91,123,123
1900,35.9,115,33,17,0.95,1.36,2/1/2024,2:00,19,18,81,96,96
1680,35.9,93.1,38.1,17,0.96,1.12,2/1/2024,3:00,17,18,70,107,107
1500,33.8,90,26.7,17,0.96,1.03,2/1/2024,4:00,15,17,68,84,84
1210,23.1,80.3,19.9,17,0.96,0.96,2/1/2024,5:00,12,12,64,71,71
1127,17.7,75,20.3,17,0.96,0.6,2/1/2024,6:00,11,9,61,72,72
1536.8,44.4,68.3,35,17,0.96,0.5,2/1/2024,7:00,15,22,58,99,99
1444.8,41.8,51.2,28.9,17,0.93,0.77,2/1/2024,8:00,14,21,47,88,88
995.3,23.1,50.8,22.9,18,0.9,1.15,2/1/2024,9:00,10,12,47,77,77
941.9,23.1,50.2,23.1,18,0.88,1.1,2/1/2024,10:00,9,12,46,77,77
943.2,23.1,50.5,22.5,19,0.83,1.14,2/1/2024,11:00,9,12,47,76,76
972.6,28.4,54,25,20,0.78,0.5,2/1/2024,12:00,10,14,51,81,81
964.4,17.3,44.4,20.5,21,0.72,1.67,2/1/2024,13:00,10,9,41,72,72
949.5,16.1,42.1,19.8,21,0.67,2.25,2/1/2024,14:00,9,8,39,71,71
1062.4,18.6,42.5,22.4,21,0.63,3.18,2/1/2024,15:00,11,9,39,76,76
1214.1,24.9,38,22.3,21,0.63,4.23,2/1/2024,16:00,12,13,35,76,76
1546.2,29.9,38.4,19.8,21,0.69,4.49,2/1/2024,17:00,15,15,36,71,71
1624.6,36.1,41.1,18.3,21,0.75,4.1,2/1/2024,18:00,16,18,38,68,68
1138.7,30.7,51.2,21,21,0.82,2.74,2/1/2024,19:00,11,15,47,73,73
838.8,22.7,49.5,18.3,20,0.86,2.97,2/1/2024,20:00,8,11,46,68,68
794.3,21.9,50.6,18.6,20,0.88,2.73,2/1/2024,21:00,8,11,47,69,69
768.1,21.9,47.9,17.7,20,0.89,3.1,2/1/2024,22:00,8,11,44,67,67
721.1,21.7,44.1,18.4,20,0.9,3.42,2/1/2024,23:00,7,11,41,68,68
713.4,21.7,43.5,18.3,20,0.9,3.4,2/2/2024,0:00,7,11,40,68,68
713.4,21.1,43.4,17.1,20,0.91,3.57,2/2/2024,1:00,7,11,40,66,66
740.8,21.1,43.4,17.2,20,0.91,4.01,2/2/2024,2:00,7,11,40,66,66
754.3,21.3,43.4,17.2,20,0.91,3.79,2/2/2024,3:00,7,11,40,66,66
765.1,21.3,43.4,17.2,20,0.91,3.96,2/2/2024,4:00,8,11,40,66,66
898.2,22.1,43.1,16.9,20,0.9,4.09,2/2/2024,5:00,9,11,40,65,65
818.3,22.9,41.1,17.2,20,0.91,3.89,2/2/2024,6:00,8,11,38,66,66
1413.7,35.7,40.3,21.9,20,0.91,3.55,2/2/2024,7:00,14,18,37,75,75
1382.5,34.9,35.1,20,20,0.87,3.99,2/2/2024,8:00,14,17,32,71,71
1071.7,22.2,37.5,20.4,20,0.76,4.69,2/2/2024,9:00,11,11,35,72,72
1076,25.8,41.2,24.5,20,0.67,5.27,2/2/2024,10:00,11,13,38,80,80
1089.9,25,42.7,24.5,20,0.63,5.46,2/2/2024,11:00,11,13,40,80,80
1128.3,20.1,34.1,21.5,22,0.65,5.51,2/2/2024,12:00,11,10,32,74,74
1113.6,25.3,34.6,25.8,25,0.57,5.79,2/2/2024,13:00,11,13,32,82,82
1111,25.3,35.4,24.9,25,0.6,6.34,2/2/2024,14:00,11,13,33,80,80
1207.8,30.7,33.7,24.5,25,0.65,6.46,2/2/2024,15:00,12,15,31,80,80
1252.7,32.4,32.5,24.9,26,0.67,6.66,2/2/2024,16:00,12,16,30,80,80
1654.3,33.1,39.1,22.7,26,0.7,6.43,2/2/2024,17:00,16,17,36,76,76
1680.8,34.4,43.2,21,24,0.76,5.22,2/2/2024,18:00,17,17,40,73,73
1131.6,26.1,42,17.5,23,0.77,4.61,2/2/2024,19:00,11,13,39,67,67
1049.3,22.3,41.9,16.7,23,0.81,4.14,2/2/2024,20:00,10,11,39,65,65
803.5,21.3,41.9,16.6,22,0.83,3.83,2/2/2024,21:00,8,11,39,65,65
463,21.1,43.9,10.9,22,0.84,4.06,2/2/2024,22:00,5,11,41,54,54
498,22,35.7,8.4,22,0.85,4.46,2/2/2024,23:00,5,11,33,47,47
562,22,38,7.8,22,0.87,3.9,2/3/2024,0:00,6,11,35,43,43
490,22,38.1,6.1,21,0.89,4.08,2/3/2024,1:00,5,11,35,34,35
373,22,27.8,12,21,0.91,3.92,2/3/2024,2:00,4,11,26,56,56
316,22,28.9,10,21,0.92,3.82,2/3/2024,3:00,3,11,27,53,53
298,22,30.8,7.8,21,0.93,3.84,2/3/2024,4:00,3,11,29,43,43
306,22,22.3,6.9,21,0.93,3.95,2/3/2024,5:00,3,11,21,38,38
353,22,15.8,6,21,0.94,3.92,2/3/2024,6:00,4,11,15,33,33
416,22.7,20.3,4.7,21,0.93,3.86,2/3/2024,7:00,4,11,19,26,26
533,23,26.8,4.4,21,0.88,4.43,2/3/2024,8:00,5,12,25,25,25
545,23,41.2,4,22,0.83,5.28,2/3/2024,9:00,5,12,38,22,38
598,21.3,30.9,3.7,23,0.81,5.41,2/3/2024,10:00,6,11,29,21,29
541,18.5,32.9,4.9,23,0.76,5.52,2/3/2024,11:00,5,9,30,27,30
557,16.6,34.3,5.1,23,0.67,5.53,2/3/2024,12:00,6,8,32,28,32
548,16.6,31.2,3.7,24,0.63,5.87,2/3/2024,13:00,5,8,29,21,29
534,16.6,40.8,4.1,24,0.65,6.43,2/3/2024,14:00,5,8,38,23,38
467,16.6,38.9,3.2,25,0.66,6.28,2/3/2024,15:00,5,8,36,18,36
525,16.6,39.7,2.5,24,0.66,6.25,2/3/2024,16:00,5,8,37,14,37
539,16.6,38,2.6,23,0.71,6.15,2/3/2024,17:00,5,8,35,15,35
558,18.5,33.8,2.1,23,0.76,5.94,2/3/2024,18:00,6,9,31,12,31
534,22.5,34.7,2.9,22,0.82,5.41,2/3/2024,19:00,5,11,32,16,32
503,21.6,44.4,2.9,22,0.83,5.41,2/3/2024,20:00,5,11,41,16,41
546,21.6,42.8,3.6,22,0.85,5.65,2/3/2024,21:00,5,11,40,20,40
511,21.6,43.5,3.8,21,0.88,5.53,2/3/2024,22:00,5,11,40,21,40
413,22.5,33.6,3.3,21,0.89,4.98,2/3/2024,23:00,4,11,31,18,31
352,22.5,30.3,2.9,21,0.89,4.61,2/4/2024,0:00,3,11,28,16,28
306,22.5,23.4,2.5,21,0.9,3.74,2/4/2024,1:00,3,11,22,14,22
272,22,16.8,4.7,21,0.91,4.23,2/4/2024,2:00,3,11,16,26,26
248,22,15.4,5.2,21,0.91,4.05,2/4/2024,3:00,2,11,14,29,29
257,22,11.9,5,21,0.92,3.86,2/4/2024,4:00,3,11,11,28,28
294,22,15.9,4.7,21,0.93,3.56,2/4/2024,5:00,3,11,15,26,26
379,22,12.2,5.1,21,0.93,3.31,2/4/2024,6:00,4,11,11,28,28
461,23.2,17.3,4,21,0.94,3.03,2/4/2024,7:00,5,12,16,22,22
570,22.5,28.2,4.9,21,0.9,3.76,2/4/2024,8:00,6,11,26,27,27
746,23.2,33.4,4.6,22,0.83,3.71,2/4/2024,9:00,7,12,31,26,31
675,18.5,37.3,9.7,23,0.75,3.48,2/4/2024,10:00,7,9,35,52,52
639,15.7,49,8.8,24,0.67,3.46,2/4/2024,11:00,6,8,45,49,49
567,15.7,51.4,16.4,26,0.61,2.91,2/4/2024,12:00,6,8,48,65,65
476,16.9,37.2,12.2,27,0.52,3.16,2/4/2024,13:00,5,8,34,57,57
469,17.4,33.5,10.2,27,0.48,2.83,2/4/2024,14:00,5,9,31,53,53
502,17.4,29.6,9.3,28,0.48,4.12,2/4/2024,15:00,5,9,27,51,51
497,16.9,30.2,9.1,29,0.54,6.23,2/4/2024,16:00,5,8,28,51,51
502,16.9,34.1,7.7,27,0.66,6.77,2/4/2024,17:00,5,8,32,43,43
517,18,25.1,7.4,26,0.77,5.7,2/4/2024,18:00,5,9,23,41,41
530,20.3,37.9,5.9,25,0.81,5.53,2/4/2024,19:00,5,10,35,33,35
485,22,27.5,8.4,24,0.85,4.97,2/4/2024,20:00,5,11,25,47,47
469,22,37.8,7.1,24,0.86,4.31,2/4/2024,21:00,5,11,35,39,39
415,22,32.3,6.9,24,0.85,4.28,2/4/2024,22:00,4,11,30,38,38
358,22,26.8,6.6,24,0.85,4.8,2/4/2024,23:00,4,11,25,37,37
322,22,36.6,5.6,23,0.85,4.36,2/5/2024,0:00,3,11,34,31,34
302,22,27.2,4.7,23,0.87,4.36,2/5/2024,1:00,3,11,25,26,26
287,22,34.1,14.2,23,0.87,4.04,2/5/2024,2:00,3,11,32,61,61
260,22,34.8,10.2,23,0.86,3.93,2/5/2024,3:00,3,11,32,53,53
262,22,25.2,7.3,22,0.86,3.69,2/5/2024,4:00,3,11,23,41,41
283,22,18.5,5.8,22,0.86,3.91,2/5/2024,5:00,3,11,17,32,32
367,22,20.3,4.7,22,0.87,3.88,2/5/2024,6:00,4,11,19,26,26
499,23.2,20.3,4.1,22,0.88,4.09,2/5/2024,7:00,5,12,19,23,23
677,22.5,18.5,5,23,0.86,4.29,2/5/2024,8:00,7,11,17,28,28
679,23,21,3.8,23,0.83,4.87,2/5/2024,9:00,7,12,19,21,21
677,21.3,20.9,3.4,24,0.81,5.02,2/5/2024,10:00,7,11,19,19,19
664,19,25.8,4.4,25,0.75,4.89,2/5/2024,11:00,7,10,24,24,24
591,16.6,22.7,6,25,0.72,4.67,2/5/2024,12:00,6,8,21,33,33
555,16.1,26,11,26,0.69,5.41,2/5/2024,13:00,6,8,24,55,55
490,16.1,18.7,8.3,26,0.66,5.95,2/5/2024,14:00,5,8,17,46,46
511,16.9,23.5,7,27,0.69,5.98,2/5/2024,15:00,5,8,22,39,39
542,16.1,22.1,6.5,25.09,0.71,6.19,2/5/2024,16:00,5,8,20,36,36
627,18,22.2,5,25,0.77,5.89,2/5/2024,17:00,6,9,21,28,28
665,22,19.5,7.4,24,0.82,5.36,2/5/2024,18:00,7,11,18,41,41
674,22,18.3,6.1,23,0.84,4.4,2/5/2024,19:00,7,11,17,34,34
617,22,26.7,8.1,22,0.85,4.03,2/5/2024,20:00,6,11,25,45,45
610,22,27.7,6.6,22,0.87,4.08,2/5/2024,21:00,6,11,26,37,37
551,22,37.7,10.1,22,0.87,3.89,2/5/2024,22:00,5,11,35,53,53
516,22,27.2,7.4,21,0.88,3.83,2/5/2024,23:00,5,11,25,41,41
517,22,19.8,7,21,0.89,3.56,2/6/2024,0:00,5,11,18,39,39
523,22,30.2,6.8,21,0.9,3.47,2/6/2024,1:00,5,11,28,38,38
472,22,21.4,5.8,21,0.91,2.77,2/6/2024,2:00,5,11,20,32,32
460,22,24.3,6.2,21,0.89,3.25,2/6/2024,3:00,5,11,23,34,34
438,22,17.3,4.7,21,0.89,3.19,2/6/2024,4:00,4,11,16,26,26
420.2,22,18.7,5.2,21,0.89,3.27,2/6/2024,5:00,4,11,17,29,29
464,22,12.6,7.1,21,0.9,3.54,2/6/2024,6:00,5,11,12,40,40
524,22.7,15.2,5.3,21,0.91,3.15,2/6/2024,7:00,5,11,14,30,30
702,22.5,22,5,21,0.91,3.18,2/6/2024,8:00,7,11,20,28,28
687,22.5,26.7,5.3,22,0.91,3.29,2/6/2024,9:00,7,11,25,29,29
653,23,27.8,4.6,22,0.9,3.46,2/6/2024,10:00,6,12,26,25,26
693,23,21.7,4.4,23,0.88,3.64,2/6/2024,11:00,7,12,20,24,24
710,22.5,16.9,8.3,23,0.86,3.45,2/6/2024,12:00,7,11,16,46,46
658,22,18.7,6.9,23,0.85,3.61,2/6/2024,13:00,7,11,17,38,38
647,22,31.9,10.9,24,0.87,3.8,2/6/2024,14:00,6,11,30,54,54
746,22.2,38,7.9,23,0.86,4.21,2/6/2024,15:00,7,11,35,44,44
617,22,27.3,12.1,23,0.86,4.85,2/6/2024,16:00,6,11,25,57,57
642,22,25.9,8.9,21,0.87,4.68,2/6/2024,17:00,6,11,24,49,49
685,22,25.6,6.7,20,0.89,3.95,2/6/2024,18:00,7,11,24,37,37
698,22,28.5,6.3,20,0.89,3.62,2/6/2024,19:00,7,11,26,35,35
619,22,30.7,5.9,19,0.9,3.79,2/6/2024,20:00,6,11,28,33,33
595,22,35.5,4.9,19,0.9,3.71,2/6/2024,21:00,6,11,33,27,33
567,22.5,30.9,4.1,19,0.9,3.7,2/6/2024,22:00,6,11,29,23,29
572,22,32.2,5.3,19,0.9,3.83,2/6/2024,23:00,6,11,30,30,30
486,22,35.4,6.2,18,0.91,3.61,2/7/2024,0:00,5,11,33,34,34
541,22,39.4,6,18,0.91,3.23,2/7/2024,1:00,5,11,36,33,36
541,21.7,31.4,5.9,17,0.91,2.3,2/7/2024,2:00,5,11,29,33,33
510,21.7,32.7,5.3,17,0.9,2.39,2/7/2024,3:00,5,11,30,29,30
471,22.2,38.5,3.7,17,0.9,2.42,2/7/2024,4:00,5,11,36,21,36
467,22.2,28.4,3.4,16,0.9,2.58,2/7/2024,5:00,5,11,26,19,26
428,22.2,21.8,3.3,16,0.89,2.5,2/7/2024,6:00,4,11,20,19,20
508,23,17.7,2.7,16,0.9,2.6,2/7/2024,7:00,5,12,16,15,16
611,22.8,22.8,3.7,16,0.89,2.6,2/7/2024,8:00,6,11,21,21,21
611,23,24.3,4.6,16,0.88,2.98,2/7/2024,9:00,6,12,23,25,25
595,23,22.2,4.2,16,0.86,3.28,2/7/2024,10:00,6,12,21,23,23
610,23,20.5,4.3,17,0.85,3.17,2/7/2024,11:00,6,12,19,24,24
580,23,25.4,4,17,0.84,3.13,2/7/2024,12:00,6,12,24,22,24
562,20.8,25.4,3.8,16,0.81,3.11,2/7/2024,13:00,6,10,24,21,24
1160,28.7,26.5,4.5,16,0.8,3.26,2/7/2024,14:00,12,14,25,25,25
1180,30.9,74.7,10.5,16,0.8,4.16,2/7/2024,15:00,12,15,61,54,61
880,23,69.6,18,16,0.8,4.46,2/7/2024,16:00,9,12,58,68,68
745,18.6,47.6,13.6,16,0.8,4.06,2/7/2024,17:00,7,9,44,59,59
655,20.3,33.4,13,15,0.81,3.97,2/7/2024,18:00,6,10,31,58,58
629,20,36.6,20.1,14,0.79,3.55,2/7/2024,19:00,6,10,34,71,71
560,28.3,29.6,24.1,14,0.8,2.9,2/7/2024,20:00,6,14,27,79,79
549,20,36,21.9,14,0.8,2.67,2/7/2024,21:00,5,10,33,75,75
497,19.3,33.8,16.1,14,0.8,2.56,2/7/2024,22:00,5,10,31,64,64
489,19.3,40.8,11.4,13,0.8,2.73,2/7/2024,23:00,5,10,38,55,55
492,19.3,31.7,8.5,13,0.8,3.1,2/8/2024,0:00,5,10,29,47,47
470,19.3,39.8,8,13,0.8,3.38,2/8/2024,1:00,5,10,37,45,45
429,22,28.9,6,13,0.83,3.8,2/8/2024,2:00,4,11,27,33,33
437,22,24.7,8.1,12,0.82,4.23,2/8/2024,3:00,4,11,23,45,45
420,20.3,18.3,5.7,12,0.81,4.26,2/8/2024,4:00,4,10,17,32,32
444,20.8,18.7,4.4,12,0.81,4.24,2/8/2024,5:00,4,10,17,25,25
435,19.3,20,5,12,0.79,3.82,2/8/2024,6:00,4,10,19,28,28
458,20,15.9,5.4,12,0.79,3.78,2/8/2024,7:00,5,10,15,30,30
459,18.5,13.9,9.4,12,0.76,3.69,2/8/2024,8:00,5,9,13,52,52
533,18.5,25.4,7.3,13,0.75,3.63,2/8/2024,9:00,5,9,24,41,41
514,18.5,19.9,5.5,13,0.74,3.52,2/8/2024,10:00,5,9,18,30,30
551,17.1,19.3,4,14,0.72,3.72,2/8/2024,11:00,5,9,18,22,22
512,16.6,23.7,5.2,15,0.71,3.46,2/8/2024,12:00,5,8,22,29,29
548,16.1,28,5.6,15,0.7,3.32,2/8/2024,13:00,5,8,26,31,31
506,16.6,25.7,4.1,15,0.66,3.58,2/8/2024,14:00,5,8,24,23,24
561,16.6,29.5,3.3,15,0.67,3.66,2/8/2024,15:00,6,8,27,18,27
523,16.1,37.1,11.2,15,0.67,3.99,2/8/2024,16:00,5,8,34,55,55
560,16.1,33.6,8.3,15,0.68,3.91,2/8/2024,17:00,6,8,31,46,46
510,16.1,31.8,5.8,14,0.7,4.02,2/8/2024,18:00,5,8,29,32,32
528,16.6,35.5,4.2,14,0.71,3.85,2/8/2024,19:00,5,8,33,24,33
515,16.6,33.4,4.3,13,0.68,3.34,2/8/2024,20:00,5,8,31,24,31
512,15.2,41.5,5,13,0.69,3.4,2/8/2024,21:00,5,8,38,28,38
463,16.1,36.6,5.5,13,0.68,3.11,2/8/2024,22:00,5,8,34,31,34
454,16.1,36.4,5.1,13,0.67,3.25,2/8/2024,23:00,5,8,34,28,34
318,16.6,32,4.1,13,0.66,3.62,2/9/2024,0:00,3,8,30,23,30
326,16.6,32.8,3,13,0.66,3.87,2/9/2024,1:00,3,8,30,17,30
295,16.6,25.7,2.3,12,0.66,3.99,2/9/2024,2:00,3,8,24,13,24
311,16.1,28.2,5,12,0.68,3.97,2/9/2024,3:00,3,8,26,28,28
300,16.6,23.9,4.1,12,0.66,3.92,2/9/2024,4:00,3,8,22,23,23
299,16.6,18.7,2.9,12,0.65,4.01,2/9/2024,5:00,3,8,17,16,17
305,16.6,29.6,3,12,0.63,4.05,2/9/2024,6:00,3,8,27,16,27
329,15.2,22,3.6,13,0.63,4.45,2/9/2024,7:00,3,8,20,20,20
364,15,18.1,4.1,13,0.6,4.64,2/9/2024,8:00,4,8,17,23,23
447,14.5,26,13.3,13,0.57,5.08,2/9/2024,9:00,4,7,24,59,59
375,14.5,19.7,10.6,14,0.53,5.19,2/9/2024,10:00,4,7,18,54,54
383,14.5,31.1,8.7,15,0.5,5.41,2/9/2024,11:00,4,7,29,48,48
358,14.4,26.2,8.1,16,0.48,5.57,2/9/2024,12:00,4,7,24,45,45
393,13.9,36.3,9.7,17,0.46,5.55,2/9/2024,13:00,4,7,34,52,52
346,13.9,29.1,13.8,17.54,0.41,5.63,2/9/2024,14:00,3,7,27,60,60
390,13.9,35.3,16.1,17,0.4,5.39,2/9/2024,15:00,4,7,33,64,64
350,13.9,37.3,13.3,17,0.41,4.96,2/9/2024,16:00,3,7,35,59,59
395,13,43.5,11,17,0.43,4.82,2/9/2024,17:00,4,7,40,55,55
379,13.9,38.5,8,16,0.49,3.57,2/9/2024,18:00,4,7,36,44,44
447,13.1,44.1,7.6,16,0.52,3.12,2/9/2024,19:00,4,7,41,42,42
424,13.1,48.4,6.7,16,0.55,2.84,2/9/2024,20:00,4,7,45,37,45
481,13.1,53.7,11,16,0.56,2.33,2/9/2024,21:00,5,7,50,55,55
471,16.7,57.5,9.8,16,0.57,2.17,2/9/2024,22:00,5,8,52,52,52
548,16.7,65.4,16.1,16,0.58,2.19,2/9/2024,23:00,5,8,56,64,64
624,16.7,76.6,12.5,16,0.59,2.42,2/10/2024,0:00,6,8,62,57,62
713,24.4,132,36.7,15,0.6,2.56,2/10/2024,1:00,7,12,89,104,104
686,24.4,162,45.9,15,0.69,2.92,2/10/2024,2:00,7,12,104,127,127
754,24.6,163,37,15,0.68,2.77,2/10/2024,3:00,7,12,105,105,105
662,24.4,154,39.9,15,0.67,2.59,2/10/2024,4:00,7,12,100,112,112
620,24.4,131,33.7,15,0.68,2.48,2/10/2024,5:00,6,12,89,97,97
515,25.6,90.9,31.2,15,0.68,2.46,2/10/2024,6:00,5,13,69,92,92
579,26.4,102,25.3,15,0.68,2.4,2/10/2024,7:00,6,13,74,81,81
487,17.8,87.9,22.4,15,0.66,2.44,2/10/2024,8:00,5,9,67,76,76
498,17.8,89.9,18.8,16,0.6,2.71,2/10/2024,9:00,5,9,68,69,69
424,17.9,59.5,19.9,16,0.54,2.88,2/10/2024,10:00,4,9,53,71,71
448,17.1,59.2,14.3,18,0.48,3.03,2/10/2024,11:00,4,9,53,61,61
389,14.3,51.9,19.8,19,0.44,3.12,2/10/2024,12:00,4,7,48,71,71
457,13.8,49.7,20.3,20,0.42,2.97,2/10/2024,13:00,5,7,46,72,72
397,14.6,37.2,19.3,21,0.4,2.86,2/10/2024,14:00,4,7,34,70,70
465,13,45.7,15.2,21,0.41,2.49,2/10/2024,15:00,5,7,42,62,62
427,13,46.5,11.9,20,0.46,3.14,2/10/2024,16:00,4,7,43,56,56
488,13.1,48.3,13.8,20,0.53,3.49,2/10/2024,17:00,5,7,45,60,60
498,13.1,45.4,10.1,20,0.56,3.26,2/10/2024,18:00,5,7,42,53,53
617,13.1,45.3,9.4,19,0.57,2.53,2/10/2024,19:00,6,7,42,52,52
612,13.1,49.7,8.5,19,0.58,2.62,2/10/2024,20:00,6,7,46,47,47
641,16.7,73.6,12.9,19,0.6,2.4,2/10/2024,21:00,6,8,60,58,60
553,17.9,83,10.2,18,0.61,2.06,2/10/2024,22:00,5,9,65,53,65
587,17.9,86.5,14.2,18,0.61,1.77,2/10/2024,23:00,6,9,67,61,67
560,17.9,85.1,10.3,18,0.61,1.61,2/11/2024,0:00,6,9,66,53,66
597,17.9,81.5,8.7,17,0.54,1.94,2/11/2024,1:00,6,9,64,48,64
528,17.9,63.6,6.9,17,0.56,1.51,2/11/2024,2:00,5,9,55,38,55
567,17.9,71,8.6,17,0.59,1.04,2/11/2024,3:00,6,9,59,48,59
521,17.9,67.5,13.1,17,0.61,1.08,2/11/2024,4:00,5,9,57,58,58
533,17.9,59.5,17,16,0.63,1,2/11/2024,5:00,5,9,53,66,66
442,14.9,51.8,13.3,15,0.65,0.97,2/11/2024,6:00,4,7,48,59,59
533,14.1,56,11.7,16,0.68,1.09,2/11/2024,7:00,5,7,51,56,56
492,11,48,21.6,16,0.61,1.19,2/11/2024,8:00,5,6,44,74,74
546,10.3,45.4,15.6,17,0.53,1.81,2/11/2024,9:00,5,5,42,63,63
485,10.4,53.5,16.1,19,0.43,1.88,2/11/2024,10:00,5,5,50,64,64
495,9.2,45.9,12.9,21,0.36,2.16,2/11/2024,11:00,5,5,43,58,58
432,9.2,46.9,10.7,21,0.32,2.22,2/11/2024,12:00,4,5,43,54,54
453,8.6,45.3,9.7,22,0.29,2.16,2/11/2024,13:00,4,4,42,52,52
386,10.7,37.3,12.3,23,0.28,1.98,2/11/2024,14:00,4,5,35,57,57
441,8.6,51.5,9.8,23,0.28,2.1,2/11/2024,15:00,4,4,48,52,52
398,8.6,42,8.9,23,0.29,2.26,2/11/2024,16:00,4,4,39,49,49
493,9.1,34.4,6.6,23,0.31,2.75,2/11/2024,17:00,5,5,32,37,37
601,9.1,34.9,6.4,21,0.38,2.61,2/11/2024,18:00,6,5,32,36,36
702,9.5,35.4,6.2,21,0.43,2.19,2/11/2024,19:00,7,5,33,35,35
603,8.7,41.6,9.1,20,0.48,3.3,2/11/2024,20:00,6,4,39,51,51
623,12.3,69.7,13.2,19,0.54,4.1,2/11/2024,21:00,6,6,58,59,59
532,12.3,76.1,11,20,0.57,3.46,2/11/2024,22:00,5,6,61,55,61
